n,	e
399,	17.474903
400,	17.484508
401,	17.494090
402,	17.503649
403,	17.513184
404,	17.522697
405,	17.532186
406,	17.541653
407,	17.551097
408,	17.560519
409,	17.569918
410,	17.579294
411,	17.588649
412,	17.597981
413,	17.607292
414,	17.616580
415,	17.625847
416,	17.635092
417,	17.644315
418,	17.653517
419,	17.662698
420,	17.671857
421,	17.680995
422,	17.690111
423,	17.699207
424,	17.708282
425,	17.717336
426,	17.726370
427,	17.735382
428,	17.744374
429,	17.753346
430,	17.762298
431,	17.771229
432,	17.780140
433,	17.789031
434,	17.797902
435,	17.806753
436,	17.815584
437,	17.824396
438,	17.833188
439,	17.841960
440,	17.850713
441,	17.859447
442,	17.868161
443,	17.876856
444,	17.885532
445,	17.894189
446,	17.902828
447,	17.911447
448,	17.920047
449,	17.928629
450,	17.937192
451,	17.945737
452,	17.954263
453,	17.962771
454,	17.971261
455,	17.979732
456,	17.988186
457,	17.996621
458,	18.005038
459,	18.013438
460,	18.021819
461,	18.030183
462,	18.038529
463,	18.046858
464,	18.055169
465,	18.063463
466,	18.071739
467,	18.079998
468,	18.088240
469,	18.096464
470,	18.104672
471,	18.112863
472,	18.121036
473,	18.129193
474,	18.137333
475,	18.145456
476,	18.153563
477,	18.161653
478,	18.169726
479,	18.177783
480,	18.185824
481,	18.193848
482,	18.201856
483,	18.209848
484,	18.217824
485,	18.225784
486,	18.233727
487,	18.241655
488,	18.249567
489,	18.257463
490,	18.265344
491,	18.273209
492,	18.281058
493,	18.288891
494,	18.296709
495,	18.304512
496,	18.312300
497,	18.320072
498,	18.327828
499,	18.335570
500,	18.343297
501,	18.351008
502,	18.358705
503,	18.366386
504,	18.374053
505,	18.381705
506,	18.389342
507,	18.396964
508,	18.404572
509,	18.412165
510,	18.419743
511,	18.427307
512,	18.434857
513,	18.442392
514,	18.449913
515,	18.457420
516,	18.464913
517,	18.472391
518,	18.479855
519,	18.487305
520,	18.494741
521,	18.502164
522,	18.509572
523,	18.516967
524,	18.524347
525,	18.531714
526,	18.539068
527,	18.546407
528,	18.553734
529,	18.561046
530,	18.568345
531,	18.575631
532,	18.582903
533,	18.590162
534,	18.597408
535,	18.604641
536,	18.611860
537,	18.619066
538,	18.626259
539,	18.633439
540,	18.640606
541,	18.647760
542,	18.654901
543,	18.662030
544,	18.669145
545,	18.676248
546,	18.683338
547,	18.690416
548,	18.697480
549,	18.704533
550,	18.711572
551,	18.718600
552,	18.725614
553,	18.732617
554,	18.739607
555,	18.746584
556,	18.753550
557,	18.760503
558,	18.767444
559,	18.774373
560,	18.781290
561,	18.788195
562,	18.795087
563,	18.801968
564,	18.808837
565,	18.815694
566,	18.822539
567,	18.829373
568,	18.836194
569,	18.843004
570,	18.849802
571,	18.856589
572,	18.863364
573,	18.870127
574,	18.876879
575,	18.883619
576,	18.890348
577,	18.897066
578,	18.903772
579,	18.910467
580,	18.917151
581,	18.923823
582,	18.930484
583,	18.937134
584,	18.943773
585,	18.950401
586,	18.957017
587,	18.963623
588,	18.970218
589,	18.976801
590,	18.983374
591,	18.989936
592,	18.996487
593,	19.003027
594,	19.009557
595,	19.016076
596,	19.022584
597,	19.029081
598,	19.035568
599,	19.042044
600,	19.048510
601,	19.054965
602,	19.061410
603,	19.067844
604,	19.074268
605,	19.080681
606,	19.087084
607,	19.093477
608,	19.099860
609,	19.106232
610,	19.112594
611,	19.118946
612,	19.125287
613,	19.131619
614,	19.137940
615,	19.144252
616,	19.150553
617,	19.156845
618,	19.163126
619,	19.169397
620,	19.175659
621,	19.181911
622,	19.188153
623,	19.194385
624,	19.200607
625,	19.206820
626,	19.213023
627,	19.219216
628,	19.225400
629,	19.231574
630,	19.237738
631,	19.243893
632,	19.250038
633,	19.256174
634,	19.262300
635,	19.268417
636,	19.274524
637,	19.280623
638,	19.286711
639,	19.292791
640,	19.298861
641,	19.304922
642,	19.310973
643,	19.317016
644,	19.323049
645,	19.329073
646,	19.335088
647,	19.341094
648,	19.347091
649,	19.353078
650,	19.359057
651,	19.365027
652,	19.370988
653,	19.376939
654,	19.382882
655,	19.388817
656,	19.394742
657,	19.400658
658,	19.406566
659,	19.412465
660,	19.418355
661,	19.424236
662,	19.430109
663,	19.435973
664,	19.441828
665,	19.447675
666,	19.453513
667,	19.459342
668,	19.465163
669,	19.470976
670,	19.476780
671,	19.482575
672,	19.488363
673,	19.494141
674,	19.499912
675,	19.505673
676,	19.511427
677,	19.517172
678,	19.522909
679,	19.528638
680,	19.534358
681,	19.540071
682,	19.545775
683,	19.551471
684,	19.557158
685,	19.562838
686,	19.568509
687,	19.574173
688,	19.579828
689,	19.585475
690,	19.591115
691,	19.596746
692,	19.602369
693,	19.607985
694,	19.613592
695,	19.619192
696,	19.624783
697,	19.630367
698,	19.635943
699,	19.641511
700,	19.647072
701,	19.652624
702,	19.658169
703,	19.663707
704,	19.669236
705,	19.674758
706,	19.680272
707,	19.685778
708,	19.691277
709,	19.696769
710,	19.702252
711,	19.707728
712,	19.713197
713,	19.718658
714,	19.724112
715,	19.729558
716,	19.734997
717,	19.740428
718,	19.745852
719,	19.751268
720,	19.756677
721,	19.762079
722,	19.767474
723,	19.772861
724,	19.778241
725,	19.783613
726,	19.788979
727,	19.794337
728,	19.799688
729,	19.805031
730,	19.810368
731,	19.815697
732,	19.821019
733,	19.826335
734,	19.831643
735,	19.836944
736,	19.842237
737,	19.847524
738,	19.852804
739,	19.858077
740,	19.863343
741,	19.868602
742,	19.873854
743,	19.879099
744,	19.884337
745,	19.889568
746,	19.894793
747,	19.900010
748,	19.905221
749,	19.910425
750,	19.915622
751,	19.920812
752,	19.925996
753,	19.931173
754,	19.936343
755,	19.941506
756,	19.946663
757,	19.951813
758,	19.956956
759,	19.962093
760,	19.967223
761,	19.972347
762,	19.977464
763,	19.982574
764,	19.987678
765,	19.992775
766,	19.997866
767,	20.002950
768,	20.008028
769,	20.013099
770,	20.018164
771,	20.023222
772,	20.028274
773,	20.033320
774,	20.038359
775,	20.043392
776,	20.048418
777,	20.053438
778,	20.058452
779,	20.063460
780,	20.068461
781,	20.073456
782,	20.078444
783,	20.083427
784,	20.088403
785,	20.093373
786,	20.098337
787,	20.103294
788,	20.108246
789,	20.113191
790,	20.118130
791,	20.123063
792,	20.127990
793,	20.132911
794,	20.137826
795,	20.142734
796,	20.147637
797,	20.152534
798,	20.157424
799,	20.162309
800,	20.167188
801,	20.172060
