n, e
310, 16.50986685
311, 16.52213684
312, 16.53436861
313, 16.54656242
314, 16.55871849
315, 16.57083706
316, 16.58291837
317, 16.59496263
318, 16.60697009
319, 16.61894097
320, 16.63087549
321, 16.64277387
322, 16.65463634
323, 16.66646311
324, 16.67825440
325, 16.69001042
326, 16.70173138
327, 16.71341750
328, 16.72506898
329, 16.73668603
330, 16.74826885
331, 16.75981765
332, 16.77133262
333, 16.78281398
334, 16.79426190
335, 16.80567660
336, 16.81705826
337, 16.82840707
338, 16.83972323
339, 16.85100693
340, 16.86225835
341, 16.87347767
342, 16.88466509
343, 16.89582079
344, 16.90694494
345, 16.91803772
346, 16.92909932
347, 16.94012990
348, 16.95112965
349, 16.96209874
350, 16.97303733
351, 16.98394561
352, 16.99482373
353, 17.00567188
354, 17.01649020
355, 17.02727887
356, 17.03803805
357, 17.04876790
358, 17.05946859
359, 17.07014027
360, 17.08078310
361, 17.09139724
362, 17.10198284
363, 17.11254006
364, 17.12306905
365, 17.13356996
366, 17.14404295
367, 17.15448815
368, 17.16490573
369, 17.17529583
370, 17.18565859
371, 17.19599416
372, 17.20630268
373, 17.21658429
374, 17.22683914
375, 17.23706737
376, 17.24726910
377, 17.25744450
378, 17.26759368
379, 17.27771678
380, 17.28781395
381, 17.29788530
382, 17.30793099
383, 17.31795113
384, 17.32794586
385, 17.33791530
386, 17.34785960
387, 17.35777887
388, 17.36767323
389, 17.37754283
390, 17.38738777
391, 17.39720820
392, 17.40700421
393, 17.41677595
394, 17.42652353
395, 17.43624707
396, 17.44594669
397, 17.45562251
398, 17.46527464
399, 17.47490321
400, 17.48450833
401, 17.49409010
402, 17.50364866
403, 17.51318411
404, 17.52269655
405, 17.53218612
406, 17.54165290
407, 17.55109703
408, 17.56051859
409, 17.56991771
410, 17.57929449
411, 17.58864903
412, 17.59798145
413, 17.60729184
414, 17.61658032
415, 17.62584699
416, 17.63509194
417, 17.64431528
418, 17.65351712
419, 17.66269755
420, 17.67185668
421, 17.68099459
422, 17.69011140
423, 17.69920721
424, 17.70828209
425, 17.71733617
426, 17.72636952
427, 17.73538225
428, 17.74437445
429, 17.75334621
430, 17.76229763
431, 17.77122880
432, 17.78013981
433, 17.78903076
434, 17.79790173
435, 17.80675282
436, 17.81558411
437, 17.82439570
438, 17.83318767
439, 17.84196010
440, 17.85071310
441, 17.85944674
442, 17.86816111
443, 17.87685629
444, 17.88553238
445, 17.89418945
446, 17.90282759
447, 17.91144688
448, 17.92004740
449, 17.92862924
450, 17.93719248
451, 17.94573720
452, 17.95426348
453, 17.96277140
454, 17.97126104
455, 17.97973247
456, 17.98818579
457, 17.99662106
458, 18.00503836
459, 18.01343777
460, 18.02181936
461, 18.03018322
462, 18.03852941
463, 18.04685802
